Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Салат Кальмаровый,,,,
Салат баклажаны по азиатски,,,,
Салат Нисуаз,,,,
Салат свекольный,,,,
Салат Рулет крабовый,,,,
Медальон из вырезки в беконе,,,,
Баварская колбаска,,,,
Пряная колбаска,,,,
Ёжик с томатным соусом,,,,
Голубец в южном соусе,,,,
Ушки с сыром,,,,
Котлета рыбная царская,,,,
Котлеты куриная паровая,,,,
Курица по строгановски,,,,
Буженина в медово-горчичном соусе,,,,
Чахохбили,,,,
Наггетсы из цветной купусты,,,,
Капуста тушеная с колбасками,,,,
Идейка в брусничном соусе,,,,
Азу из говядины,,,,
Перец фаршированный,,,,
Жареные пельмини,,,,
Жареная говядина,,,,
Стейк из красной рыбы,,,,
Кефте из курицы в соусе терияки,,,,
Говядина по рожденствнский,,,,
Wok Лапша с цыпленком в соусе тияки,,,,
Цыпленок по-пекински в соусе унаги,,,,
Wok Цыпленок в кисло сладном соусе с овощами,,,,
Плов чайханский ( с бараниной),,,,
Чесночные гренки,,,,
Куриные крылья,,,,
Сырники из домашнего творога,,,,
Котлеты из мраморной говядины с пюре,,,,
Карбонара,,,,
Спагетти болоньезе,,,,
Бургер Virgin,,,,
Вери гуд бургер,,,,
Royal Burger,,,,
Italiano Burger,,,,
Салат Цезарь,,,,
Салат с Тигровыми креветками,,,,
Салат Ташкент,,,,
Бесфтроганов с грибами,,,,
Стейк лосось с овощами,,,,
Стейк из индейки,,,,
Овощи гриль,,,,
Говядина по строгансвки,,,,
Говядина по уйгурски,,,,
Бифштекс натуральный рубленный с яйцом и пюре,,,,
Котлеты из индейки с картофелем,,,,
Джек дениелс бургер,,,,
Фокачча с пармезаном,,,,
Фокачча с морской солью и розмарином,,,,
Борщ,,,,
Крем суп грибной,,,,
Том-ям с цыпленком,,,,
Том-ям с креветками,,,,
Комбо Роял бурге с картофилем фри и напитком,,,,
Пицца диабло,,,,
Пицца с окороком и грабами / c ветчиной из индейки и грибами,,,,
Пица мясной мега mix,,,,
Пицца bizanca quntro...,,,,
Медовик,,,,
Яблочный штрудель с мороженным,,,,
Пирожное манго-маракуйя,,,,
Фетучини с лососем,,,,
Говядина с овощами в томатном соусе,,,,
Верджин бургер,,,,
Чебурек с картофелем,,,,
Чебурек с говядиной,,,,
Плов с говядиной,,,,
Плов с курицей,,,,
Шаверма питерская (больше мяса без капусты),,,,
Шаурма куриная стандартная,,,,
Шаурма от Шефа Микс,,,,
Шаверма от Шефа с говяжей вырезкой,,,,
Шуаурма императорская XL,,,,
Комбо: Шурма + картофель фри + Лимонад + соус,,,,
Комбо: Шурма + Лимонад,,,,
Картофель фри отдельно,,,,
Куриный шницель,,,,
Салат картофельный,,,,
Треска в томатном соусе,,,,
Куриные котлеты со сливочным соусом,,,,
Стейк тунца с овощной сальсой,,,,
Говядина в соусе Демигласс с картофельным пюре,,,,
Бефстроганов с картофельным пюре,,,,
Рол Цезарь,,,,
Клаб-сэндвич с курицей,,,,
Фирменные Сырники,,,,
Шницель растительный,,,,
Бифштекс,,,,
Запеканка творожная,,,,
Сырники из рикоты,,,,
Блинчики с сыром и ветчиной,,,,
Блинчики с маком,,,,
Панкейки с рикоттой,,,,
"Оладьи с бананом, клубникой и сгущенным молоком",,,,
Рол с ветчиной и яйцом,,,,
Ролл Филадельфия,,,,
Баварский бургер,,,,
Паста Альфредо с курицей,,,,
Паста Карбонара,,,,
Мясная лазанья,,,,
Паста с грибами,,,,
Спагетти с морепродуктами,,,,
Паровые котлеты из курицы и индейки,,,,
Куриная грудка,,,,
Бефстроганов с грибами и гарниром,,,,
"Треска со сливочно-шпинатным соусом и гарниром ",,,,
Пицца маргарита,,,,
Пицца ветчина и грибы,,,,
Пицца пепперони,,,,
Котлеты из индейки,,,,
Биф-бургер,,,,
Двойной чизбергер,,,,
Паста фетучини с курицей и шпинатом,,,,
Спагетти карбонара,,,,
Крылья BBQ,,,,
Гренки чесночные,,,,
Арахис,,,,
Фисташки,,,,
Чипсы,,,,
Бифштекс с яйцом,,,,
Картофель фри,,,,
Сэндвич с моцареллой,,,,
Сэндвич с индейкой и беконом,,,,
Жареные пельмени с говядиной,,,,
https://rostics.ru/product/5575,,,,
Картофель Фри Стандартный,,,,
Шефбургер оригинальный,,,,
Маэстро Бургер Де Люкс Оригинальный,,,,
Наггетсы 18шт,,,,
Байтсы большие,,,,
Хачапури по-аджарски,,,,
Люлякебаб из индейки,,,,
Люлякебаб из баранины и свинины,,,,
Шашлык из курицы,,,,
Оджахури со свидиной,,,,
Кесадилья с говядиной,,,,
Контейнер 1шт,,,,
Комбо завтрак 1,,,,
Комбо завтрак 2,,,,
Шакшука,,,,
